Nombre del producto,Nombre de la variante,Categoría,SKU,Unidades,Moneda,Importe,Precio de coste,Beneficio,Margen
Affogato,,Especials,,20,EUR,"90,00","1,00","61,80","75,55 %"
"Aigua 0,5L",,Begudes Envasades,,1.057,EUR,"2114,00","0,31","1595,50","82,961 %"
Aigua amb gas,,Begudes Envasades,,4,EUR,"8,00",,,
Aigua amb gas,,Begudes,,2,EUR,"4,00",,,
Aigua Gas,,Begudes Envasades,,80,EUR,"200,00","0,64","130,49","71,82 %"
Amaroza,,Granel,,5,EUR,"80,00","11,91","13,20","18,144 %"
Americano,,Cafes,,75,EUR,"165,90","0,35","124,56","82,593 %"
Americano,Americano,Cafes,,186,EUR,"411,60","0,32","314,65","84,092 %"
Americano,Decaf,Cafes,,9,EUR,"19,80","0,32","15,12",84 %
Ametlles torrades,,Menjar,,1,EUR,"2,20",,,
Banana Bread,,Menjar,,184,EUR,"633,15","1,00","389,53","67,917 %"
Banana Bread,,,,1,EUR,"-3,50",,,
Banana Bread,Estandard,Menjar,,19,EUR,"41,80","0,65","25,65","67,5 %"
Banana Bread,OLO,Menjar,,43,EUR,"150,15","0,95","95,22","69,978 %"
Batch Coffee,,Filtrats,,242,EUR,"831,90","0,70","571,03","77,121 %"
Batch Coffee,,,,1,EUR,"-3,50",,,
Bitter,,Begudes Envasades,,10,EUR,"25,00","0,66","16,11","70,937 %"
Blanc,,Vi,,11,EUR,"38,50",,,
Cafè amb llet,,Cafes,,556,EUR,"1380,45","0,60","906,85","73,106 %"
Cafè amb llet,Cafè amb llet,,,2,EUR,"-5,00",,,
Cafè amb llet,Cafè amb llet,Cafes,,1.079,EUR,"2702,70","0,51","1904,66","77,584 %"
Cafè amb llet,Decaf,Cafes,,65,EUR,"162,50","0,51","114,41","77,534 %"
Capuccino,,Cafes,,240,EUR,"600,00","0,60","401,05","73,58 %"
Capuccino,Capuccino,Cafes,,334,EUR,"836,80","0,51","589,87","77,593 %"
Capuccino,Decaf,Cafes,,17,EUR,"42,50","0,51","29,92","77,533 %"
Carrot Cake,,Menjar,,16,EUR,"40,00",,,
Carrot Cake,,Menjar,,164,EUR,"572,25","1,00","354,19","68,351 %"
Carrot Cake,Estandard,Menjar,,12,EUR,"30,00","1,00","15,25","55,963 %"
Carrot Cake,OLO,Menjar,,18,EUR,"63,00","1,00","39,24","68,553 %"
Cervesa,,Cervesa,,1,EUR,"2,50",,,
Chai Latte,,Cafes,,28,EUR,"111,75","1,30","62,90","63,343 %"
Chai Latte,S,Cafes,,84,EUR,"294,00","1,16","169,68","63,522 %"
Chemex,,Filtrats,,2,EUR,"16,00","1,65","11,24","77,303 %"
Cinammon Orange Cold Brew,,Especials,,30,EUR,"130,00","1,00","88,11","74,599 %"
Coco Matcha Cloud,,Especials,,86,EUR,"473,00",,,
Cold Brew,,Filtrats,,442,EUR,"1321,20","0,85","821,40","68,615 %"
Cold Brew Cinammon Orange,,Especials,,51,EUR,"237,35","1,00","162,29","76,088 %"
Cold Brew Ice Strawberry,,Especials,,31,EUR,"145,70","1,00","101,40","76,586 %"
Cold Brew Lemonade Honey,,Especials,,37,EUR,"173,90","1,00","120,99","76,58 %"
Cookie 3 xoco,,Menjar,,58,EUR,"126,50","0,75","70,40","61,808 %"
Croissant,,Menjar,48,6,EUR,"10,80","0,72","5,51","56,052 %"
Croissant,Estandard,Menjar,48,1.100,EUR,"2172,64","0,72","1179,53","59,828 %"
Croissant,Estandard,,,2,EUR,"-4,00",,,
Croissant,Farcit,Menjar,,216,EUR,"707,65","0,95","437,70","68,082 %"
Croissant,Farcit,,,1,EUR,"-3,50",,,
Croissant,Moratdel·la,Menjar,,23,EUR,"90,00","1,20","52,27","65,443 %"
Croissant,Nutella,Menjar,,1,EUR,"2,90","0,95","1,69","64,015 %"
Croissant,Pastrami,Menjar,,14,EUR,"50,00","1,20","22,69","57,457 %"
Croissant,Pistacho,Menjar,,15,EUR,"57,00","1,00","36,76","71,02 %"
Croissant,Xoco,Menjar,,22,EUR,"81,70","1,00","50,28","69,562 %"
